ReqID,a(SrcNode),i(DesNode),k(Path),p(Ratio),dtTrans,tArrival,start,end,timeSer(PSO),t_wait,t_proc,t_serv,moved_data,t_trans_vr,t_end_real
44,V8,R2,R1,1.0,1.0,0.13939393939393943,4.654545454545455,4.654545454545455,5.654545454545455,2.6054041404399473,0.0,1.0,1.1393939393939394,45.45454545454555,1.5151515151515154,
5,V6,R1,R4,1.0,1.0,0.12727272727272732,5.5212121212121215,5.5212121212121215,6.5212121212121215,2.1272727272727288,0.0,1.0,1.1272727272727274,15.151515151515298,1.3939393939393945,
45,V8,R2,R2,1.0,1.0,0.0,5.3939393939393945,5.657796460198747,6.657796460198747,1.7077964601987476,0.26385706625935246,1.0,1.2638570662593525,15.151515151515298,1.3939393939393945,
6,V6,R4,R7,1.0,1.0,0.13586280660918595,6.615702993913167,6.615702993913167,7.615702993913167,1.2567309611349704,0.0,1.0,1.135862806609186,36.62671349266191,1.4798401873039808,
46,V8,R2,R2,1.0,1.0,0.0,6.515151515151516,6.657796460198747,7.657796460198747,1.8077964601987475,0.14264494504723135,1.0,1.1426449450472314,45.45454545454555,1.5151515151515154,
7,V6,R4,R4,1.0,1.0,0.0,7.404506938006052,7.404506938006052,8.404506938006051,1.579930345067114,0.0,0.9999999999999991,0.9999999999999991,17.79340116817974,1.4045069380060522,
47,V8,R5,R5,1.0,1.0,0.0,7.55915617203512,7.55915617203512,8.55915617203512,1.1863038419289742,0.0,1.0,1.0,56.45570967544671,1.5591561720351201,
8,V6,R4,R1,1.0,1.0,0.12727272727272732,8.521212121212121,8.521212121212121,9.521212121212121,1.1772727272727277,0.0,1.0,1.1272727272727274,15.151515151515298,1.3939393939393945,
48,V8,R5,R8,1.0,1.0,0.12727272727272732,8.521212121212121,8.521212121212121,9.521212121212121,1.1772727272727277,0.0,1.0,1.1272727272727274,15.151515151515298,1.3939393939393945,
9,V6,R4,R4,1.0,1.0,0.0,9.488806958247547,9.488806958247547,10.488806958247547,1.5327726785602775,0.0,1.0,1.0,38.86840622855351,1.4888069582475474,
10,V6,R4,R5,1.0,1.0,0.14452119344539913,10.710945249111512,10.710945249111512,11.710945249111512,1.336821039369942,0.0,1.0,1.1445211934453992,58.27268058319481,1.5664240556661124,
11,V6,R4,R3,1.0,1.0,0.13939393939393943,11.654545454545454,11.654545454545454,12.654545454545454,1.2893939393939398,0.0,1.0,1.1393939393939394,45.45454545454555,1.5151515151515154,
12,V6,R5,R2,1.0,1.0,0.15151515151515155,12.787878787878789,12.787878787878789,13.787878787878789,1.401515151515152,0.0,1.0,1.1515151515151516,75.75757575757586,1.6363636363636367,
13,V6,R5,R5,1.0,1.0,0.0,13.636363636363637,13.636363636363637,14.636363636363637,1.2500000000000004,0.0,1.0,1.0,75.75757575757586,1.6363636363636367,
14,V6,R5,R2,1.0,1.0,0.15151515151515155,14.787878787878789,14.787878787878789,15.787878787878789,1.401515151515152,0.0,1.0,1.1515151515151516,75.75757575757586,1.6363636363636367,
15,V6,R5,R4,1.0,1.0,0.14055046517138267,15.667267238097331,15.667267238097331,16.66726723809733,1.3000918028352897,0.0,1.0,1.1405504651713827,48.34585989815366,1.5267167729259479,
16,V6,R5,R5,1.0,1.0,0.0,16.515151515151516,16.515151515151516,17.515151515151516,1.1500000000000004,0.0,1.0,1.0,45.45454545454555,1.5151515151515154,
17,V6,R5,R2,1.0,1.0,0.14109250377356475,17.673229662721333,17.673229662721333,18.673229662721333,1.305105659905474,0.0,1.0,1.1410925037735646,49.70095640360887,1.5321371589477688,
